accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,label
2000,1,5.02,creditcard,372.0,0
605,1,4.92,creditcard,0.0,0
1625,1,4.9,creditcard,0.0,0
1933,1,3.58,creditcard,82.0,0
3,1,4.84,creditcard,0.0,0
2000,1,4.96,paypal,0.0,0
1547,1,4.96,paypal,0.0,0
54,1,4.96,creditcard,0.0,0
279,1,4.75,creditcard,114.0,0
1,4,4.84,creditcard,0.0,1
2000,1,4.75,creditcard,0.0,0
89,1,4.52,paypal,88.0,0
1767,1,5.04,creditcard,755.0,0
1609,1,4.97,storecredit,0.0,0
261,1,4.9,creditcard,255.0,0
2000,1,4.06,paypal,0.0,0
978,2,4.88,creditcard,0.0,0
1858,1,4.96,creditcard,0.0,0
3,1,5.03,paypal,2.0,0
2000,1,5.04,paypal,0.0,0
150,1,5.04,creditcard,86.0,0
182,1,4.52,storecredit,175.0,0
931,1,3.58,creditcard,0.0,0
158,1,4.46,creditcard,0.0,0
2000,1,4.96,creditcard,719.0,0
2000,1,4.97,paypal,0.0,0
2000,1,4.75,creditcard,0.0,0
1162,1,4.88,paypal,0.0,0
1208,1,4.96,creditcard,466.0,0
127,1,5.04,creditcard,0.0,0
13,1,4.92,creditcard,0.0,0
1670,1,4.75,paypal,0.0,0
2000,1,4.84,paypal,102.0,0
444,1,4.84,paypal,99.0,0
21,1,4.9,creditcard,21.0,0
19,2,4.96,creditcard,0.0,0
66,1,4.74,creditcard,17.0,0
2000,1,4.75,storecredit,0.0,0
86,1,4.52,creditcard,85.0,0
1896,1,4.92,creditcard,0.0,0
273,1,5.03,creditcard,0.0,0
43,1,4.88,creditcard,0.0,0
154,1,4.9,creditcard,0.0,0
497,1,4.97,storecredit,495.0,0
494,1,4.96,paypal,0.0,0
1799,1,4.92,paypal,1763.0,0
2000,1,3.48,creditcard,502.0,0
541,1,4.06,creditcard,0.0,0
369,1,4.92,creditcard,0.0,0
1075,1,3.07,creditcard,8.0,0
2000,1,5.02,paypal,130.0,0
53,1,5.04,paypal,52.0,0
2000,1,4.92,creditcard,328.0,0
824,1,4.06,creditcard,0.0,0
3,1,4.51,creditcard,0.0,0
604,1,4.88,creditcard,0.0,0
1285,1,4.52,paypal,26.0,0
279,1,4.06,creditcard,0.0,0
1477,1,5.02,paypal,0.0,0
645,1,3.95,paypal,555.0,0
2,1,4.52,creditcard,1.0,0
131,1,4.89,creditcard,0.0,0
2000,1,4.46,paypal,0.0,0
37,1,4.51,creditcard,36.0,0
3,1,4.92,storecredit,0.0,0
2000,1,2.95,creditcard,0.0,0
2000,1,5.02,creditcard,0.0,0
125,1,4.9,paypal,0.0,0
1535,1,5.02,paypal,0.0,0
1305,1,5.04,creditcard,1261.0,0
2000,1,4.96,paypal,711.0,0
2000,4,4.74,creditcard,0.0,0
32,1,4.96,creditcard,29.0,0
2000,1,4.89,paypal,0.0,0
2000,1,5.04,creditcard,0.0,0
106,1,4.97,creditcard,0.0,0
1672,1,4.92,paypal,1569.0,0
1900,1,5.03,creditcard,0.0,0
911,1,4.88,paypal,0.0,0
66,1,4.06,paypal,0.0,0
13,1,4.92,creditcard,12.0,0
2000,5,2.6,creditcard,218.0,0
1394,5,4.74,creditcard,550.0,0
1991,1,4.89,creditcard,1394.0,0
31,1,4.51,creditcard,30.0,0
102,1,4.84,creditcard,0.0,0
1941,1,4.92,creditcard,3.0,0
1460,1,3.07,paypal,0.0,0
664,1,4.89,paypal,0.0,0
1979,1,4.51,storecredit,456.0,0
2000,1,4.46,paypal,2.0,0
569,1,4.88,creditcard,0.0,0
171,1,5.03,creditcard,0.0,0
1392,1,4.97,creditcard,0.0,0
639,1,5.02,creditcard,628.0,0
14,1,4.92,creditcard,0.0,0
776,1,4.89,creditcard,0.0,0
906,1,5.04,creditcard,0.0,0
4,1,4.92,creditcard,0.0,0
2000,1,4.92,creditcard,265.0,0
131,1,4.96,paypal,130.0,0
49,1,4.89,creditcard,0.0,0
2,1,4.84,creditcard,1.0,0
145,1,4.75,creditcard,145.0,0
91,1,4.51,creditcard,0.0,0
17,1,5.03,creditcard,0.0,0
151,1,4.97,creditcard,0.0,0
553,1,4.97,creditcard,4.0,0
779,3,4.06,creditcard,128.0,0
1306,1,4.84,creditcard,0.0,0
2000,1,5.02,creditcard,294.0,0
877,1,4.52,creditcard,683.0,0
2000,1,4.75,paypal,0.0,0
949,1,4.97,creditcard,0.0,0
367,1,5.02,creditcard,0.0,0
2000,1,4.92,creditcard,0.0,0
1602,1,4.92,creditcard,0.0,0
2000,1,4.52,creditcard,277.0,0
1536,1,4.74,creditcard,966.0,0
2000,1,4.75,paypal,3.0,0
526,1,4.89,creditcard,26.0,0
51,1,4.84,creditcard,0.0,0
1289,1,5.03,creditcard,251.0,0
38,1,4.92,creditcard,0.0,0
235,1,4.92,storecredit,0.0,0
1842,1,4.88,creditcard,1.0,0
2,1,4.75,creditcard,1.0,0
39,1,5.02,paypal,0.0,0
529,1,4.9,creditcard,508.0,0
2000,1,4.51,creditcard,0.0,0
2,1,3.58,creditcard,1.0,0
1994,1,4.92,creditcard,0.0,0
4,1,2.6,paypal,3.0,0
2000,1,4.9,paypal,945.0,0
37,1,4.51,paypal,0.0,0
2000,1,4.88,creditcard,101.0,0
1612,1,4.51,paypal,0.0,0
17,1,5.02,paypal,16.0,0
1615,1,4.75,paypal,0.0,0
19,1,5.04,storecredit,18.0,0
2000,1,4.89,creditcard,253.0,0
884,1,4.97,creditcard,0.0,0
1,1,4.84,paypal,0.0,1
190,1,5.03,storecredit,97.0,0
130,1,4.51,creditcard,129.0,0
2000,1,4.74,paypal,0.0,0
2000,1,4.96,paypal,0.0,0
3,1,4.75,creditcard,0.0,0
8,1,5.04,creditcard,0.0,0
295,2,5.04,creditcard,0.0,0
352,1,4.75,creditcard,352.0,0
2000,1,4.75,paypal,3.0,0
1603,1,4.88,paypal,0.0,0
322,1,4.75,creditcard,0.0,0
114,1,4.88,paypal,0.0,0
1981,1,4.92,creditcard,0.0,0
3,1,4.52,creditcard,2.0,0
2000,1,4.92,creditcard,0.0,0
1173,1,5.02,creditcard,0.0,0
125,1,4.92,creditcard,124.0,0
635,1,4.92,creditcard,634.0,0
2000,1,4.88,storecredit,0.0,0
54,1,4.89,creditcard,0.0,0
54,1,4.84,creditcard,0.0,0
633,1,5.03,creditcard,0.0,0
8,1,4.75,creditcard,0.0,0
256,1,4.96,paypal,0.0,0
145,1,4.89,creditcard,0.0,0
73,2,4.52,creditcard,72.0,0
466,1,4.06,creditcard,0.0,0
1608,1,4.92,creditcard,479.0,0
1783,1,4.52,creditcard,0.0,0
989,1,4.84,creditcard,989.0,0
1292,1,4.92,creditcard,0.0,0
2,1,5.03,paypal,1.0,0
1597,1,5.02,creditcard,119.0,0
578,1,3.58,creditcard,486.0,0
105,1,5.04,paypal,104.0,0
2000,2,4.75,creditcard,0.0,0
1,1,4.92,creditcard,0.0,1
2000,1,3.48,creditcard,0.0,0
211,1,2.6,creditcard,210.0,0
2000,1,4.84,creditcard,0.0,0
167,1,4.92,creditcard,167.0,0
140,1,5.03,creditcard,139.0,0
41,1,4.9,creditcard,9.0,0
179,1,4.92,creditcard,0.0,0
563,1,4.92,creditcard,0.0,0
190,1,4.9,creditcard,2.0,0
33,1,4.52,creditcard,32.0,0
549,1,4.9,paypal,0.0,0
2000,1,4.52,creditcard,302.0,0
1049,1,5.03,creditcard,0.0,0
2000,1,4.88,creditcard,5.0,0
611,1,4.9,creditcard,104.0,0
10,1,4.84,creditcard,0.0,0
1759,1,4.06,creditcard,478.0,0
1679,1,4.75,paypal,0.0,0
3,1,4.89,creditcard,3.0,0
15,1,4.84,creditcard,14.0,0
8,1,4.52,paypal,7.0,0
842,1,4.74,creditcard,834.0,0
877,1,4.75,creditcard,0.0,0
1326,1,5.03,creditcard,0.0,0
2,1,3.48,creditcard,1.0,0
2000,1,4.92,creditcard,210.0,0
798,1,4.75,creditcard,0.0,0
211,1,4.84,creditcard,0.0,0
804,1,5.04,creditcard,0.0,0
987,1,4.84,paypal,0.0,0
1089,1,3.95,creditcard,1089.0,0
205,1,4.75,creditcard,0.0,0
1350,1,3.95,paypal,0.0,0
2000,1,4.92,paypal,367.0,0
2,1,4.96,creditcard,2.0,0
785,2,4.75,creditcard,86.0,0
2,1,4.97,paypal,0.0,0
606,1,4.51,creditcard,0.0,0
943,1,4.97,creditcard,0.0,0
312,1,4.88,creditcard,0.0,0
442,1,4.97,paypal,0.0,0
444,1,4.89,creditcard,74.0,0
25,1,4.84,creditcard,24.0,0
2000,1,4.52,creditcard,1377.0,0
14,1,4.46,creditcard,14.0,0
641,1,4.75,creditcard,0.0,0
2000,1,5.02,paypal,170.0,0
474,1,4.74,paypal,0.0,0
2000,1,4.75,creditcard,161.0,0
1519,1,4.84,paypal,0.0,0
299,1,4.51,paypal,0.0,0
739,1,4.06,paypal,0.0,0
239,1,4.89,creditcard,0.0,0
169,1,4.88,creditcard,168.0,0
148,1,4.92,storecredit,143.0,0
80,1,4.88,paypal,0.0,0
922,1,4.84,creditcard,0.0,0
955,2,4.46,creditcard,0.0,0
1413,1,4.06,creditcard,0.0,0
1131,1,4.89,creditcard,0.0,0
674,1,4.84,creditcard,43.0,0
2000,1,4.97,creditcard,3.0,0
2000,1,4.96,creditcard,196.0,0
2000,1,4.9,creditcard,0.0,0
290,1,4.06,creditcard,289.0,0
1767,1,4.46,creditcard,32.0,0
4,1,4.88,creditcard,0.0,0
3,1,4.88,paypal,0.0,0
365,1,4.75,creditcard,0.0,0
823,1,5.02,creditcard,0.0,0
1443,1,4.75,creditcard,0.0,0
2,1,4.46,creditcard,2.0,0
597,1,4.89,paypal,212.0,0
1477,1,4.75,paypal,65.0,0
2000,1,4.75,paypal,0.0,0
44,1,4.92,creditcard,0.0,0
2000,1,4.52,creditcard,0.0,0
2000,1,5.04,creditcard,0.0,0
2000,1,4.06,creditcard,407.0,0
2000,1,5.03,creditcard,0.0,0
1,1,4.52,paypal,0.0,1
2,1,4.75,creditcard,1.0,0
2000,1,4.88,paypal,2.0,0
5,1,4.89,creditcard,0.0,0
8,2,4.51,creditcard,0.0,0
2000,1,4.92,creditcard,1831.0,0
978,1,3.07,creditcard,0.0,0
132,1,4.52,creditcard,1.0,0
2000,1,5.02,creditcard,0.0,0
324,1,4.89,creditcard,0.0,0
1691,1,4.74,creditcard,1580.0,0
2000,1,4.96,paypal,970.0,0
212,1,3.95,creditcard,0.0,0
6,2,4.92,creditcard,0.0,0
531,1,4.9,paypal,122.0,0
136,1,5.02,creditcard,0.0,0
1307,1,4.51,creditcard,0.0,0
2000,1,4.74,creditcard,626.0,0
897,1,4.51,creditcard,897.0,0
64,1,3.95,creditcard,1.0,0
1611,1,4.96,creditcard,0.0,0
119,1,4.89,creditcard,0.0,0
12,1,5.03,creditcard,0.0,0
695,1,4.51,creditcard,0.0,0
1073,1,4.92,creditcard,50.0,0
2000,1,4.74,creditcard,413.0,0
4,1,4.75,paypal,0.0,0
272,2,5.04,creditcard,0.0,0
1992,1,5.02,creditcard,0.0,0
2000,1,5.02,creditcard,1385.0,0
501,1,5.02,paypal,0.0,0
99,1,4.9,creditcard,32.0,0
105,1,5.04,creditcard,0.0,0
11,1,4.75,creditcard,0.0,0
2000,1,5.04,creditcard,99.0,0
1905,1,4.74,creditcard,0.0,0
611,1,3.58,creditcard,537.0,0
270,1,3.58,creditcard,0.0,0
2,1,4.9,paypal,1.0,0
802,1,5.03,creditcard,0.0,0
17,1,4.9,storecredit,0.0,0
1194,1,4.51,creditcard,0.0,0
1575,1,4.46,creditcard,0.0,0
38,1,4.75,paypal,0.0,0
49,1,5.04,paypal,49.0,0
1768,1,4.97,paypal,1009.0,0
37,1,4.75,creditcard,0.0,0
1025,1,4.92,creditcard,156.0,0
13,1,4.84,creditcard,0.0,0
909,1,4.75,creditcard,0.0,0
1165,1,4.89,paypal,1.0,0
4,1,5.04,creditcard,0.0,0
7,1,4.88,creditcard,0.0,0
298,2,4.89,paypal,152.0,0
1,1,4.75,paypal,0.0,1
2000,1,4.75,creditcard,547.0,0
1,1,4.75,creditcard,0.0,1
6,1,4.92,creditcard,0.0,0
888,1,4.75,creditcard,1.0,0
135,1,4.75,creditcard,0.0,0
1697,1,4.97,creditcard,0.0,0
119,1,4.97,creditcard,119.0,0
441,1,4.88,creditcard,0.0,0
15,1,4.88,paypal,0.0,0
56,1,2.95,creditcard,54.0,0
253,1,4.92,creditcard,252.0,0
2000,1,4.46,paypal,1.0,0
2000,1,5.02,paypal,391.0,0
2000,1,5.03,creditcard,119.0,0
663,1,4.75,creditcard,0.0,0
1714,2,4.75,creditcard,680.0,0
4,1,4.84,storecredit,0.0,0
200,1,4.96,creditcard,0.0,0
278,1,5.02,creditcard,0.0,0
111,1,5.02,creditcard,0.0,0
1958,1,4.75,paypal,26.0,0
38,1,4.52,creditcard,37.0,0
144,1,5.03,creditcard,0.0,0
1481,1,3.95,paypal,0.0,0
27,1,4.9,creditcard,26.0,0
2000,1,4.96,creditcard,0.0,0
138,1,4.74,creditcard,0.0,0
2000,1,4.9,creditcard,630.0,0
2000,1,4.06,creditcard,0.0,0
2000,1,4.75,creditcard,934.0,0
27,1,5.04,creditcard,0.0,0
2000,1,4.9,paypal,0.0,0
45,2,4.75,creditcard,45.0,0
67,1,4.92,creditcard,0.0,0
215,1,4.75,creditcard,174.0,0
1922,1,3.07,creditcard,1.0,0
148,1,4.92,creditcard,0.0,0
1595,1,4.88,storecredit,1.0,0
87,1,4.92,creditcard,0.0,0
778,1,3.48,creditcard,0.0,0
68,1,4.75,creditcard,0.0,0
10,1,5.02,creditcard,0.0,0
1323,1,4.06,paypal,86.0,0
1921,1,4.96,creditcard,0.0,0
1756,1,4.75,creditcard,2.0,0
1801,2,4.92,storecredit,0.0,0
947,1,4.75,paypal,1.0,0
2,1,4.46,creditcard,0.0,0
2000,1,4.52,paypal,289.0,0
742,1,4.06,creditcard,0.0,0
1613,1,5.04,creditcard,15.0,0
278,1,4.89,creditcard,0.0,0
83,1,4.06,creditcard,83.0,0
2000,1,5.04,creditcard,1548.0,0
3,1,4.92,paypal,0.0,0
410,1,3.58,paypal,124.0,0
31,1,4.97,creditcard,0.0,0
2000,1,5.03,creditcard,338.0,0
2000,1,4.97,creditcard,193.0,0
892,1,4.75,creditcard,0.0,0
1634,1,4.52,creditcard,0.0,0
205,10,4.75,creditcard,57.0,0
648,1,4.75,storecredit,0.0,0
1098,1,5.02,creditcard,0.0,0
1937,1,5.04,creditcard,318.0,0
1817,1,4.74,paypal,0.0,0
132,1,4.92,paypal,131.0,0
909,1,3.58,paypal,315.0,0
655,1,5.03,creditcard,0.0,0
196,1,4.92,creditcard,0.0,0
299,1,4.92,creditcard,0.0,0
124,1,3.48,paypal,124.0,0
1724,1,4.74,paypal,323.0,0
1546,1,3.48,paypal,0.0,0
2000,1,4.89,creditcard,0.0,0
307,1,5.03,creditcard,0.0,0
2000,1,4.52,creditcard,509.0,0
1196,1,5.02,creditcard,0.0,0
272,1,4.88,storecredit,0.0,0
529,1,2.6,creditcard,145.0,0
1,1,4.92,creditcard,0.0,1
2000,1,4.9,creditcard,0.0,0
2000,1,4.84,storecredit,264.0,0
1129,1,4.89,creditcard,0.0,0
72,1,4.52,paypal,71.0,0
579,1,4.46,creditcard,486.0,0
2000,1,4.92,creditcard,0.0,0
385,1,4.97,creditcard,10.0,0
247,1,4.51,creditcard,246.0,0
567,1,4.51,creditcard,412.0,0
1147,1,4.75,creditcard,87.0,0
958,1,4.46,creditcard,0.0,0
101,1,4.74,paypal,0.0,0
2000,1,4.97,paypal,719.0,0
2000,1,4.96,paypal,136.0,0
219,1,4.96,paypal,0.0,0
934,1,4.92,creditcard,0.0,0
46,1,4.75,creditcard,0.0,0
912,1,4.92,paypal,181.0,0
151,1,3.95,creditcard,0.0,0
487,1,4.88,creditcard,486.0,0
129,1,4.52,creditcard,128.0,0
1213,1,5.04,creditcard,0.0,0
1622,1,4.52,creditcard,1.0,0
620,1,4.97,paypal,620.0,0
2000,1,4.97,creditcard,929.0,0
857,2,4.89,creditcard,0.0,0
13,1,4.96,creditcard,0.0,0
2000,1,5.02,creditcard,88.0,0
454,1,5.03,creditcard,0.0,0
14,2,4.9,creditcard,14.0,0
1272,1,4.51,paypal,815.0,0
564,1,4.75,paypal,548.0,0
2000,1,4.89,creditcard,0.0,0
947,3,4.88,creditcard,208.0,0
46,1,4.89,creditcard,45.0,0
4,1,5.03,creditcard,3.0,0
993,1,4.75,creditcard,0.0,0
8,1,4.92,creditcard,7.0,0
13,1,4.9,creditcard,13.0,0
323,1,5.02,creditcard,322.0,0
2000,1,4.92,creditcard,0.0,0
618,1,3.48,paypal,543.0,0
2000,1,4.74,paypal,0.0,0
915,1,4.84,creditcard,364.0,0
2000,1,4.97,creditcard,0.0,0
2000,1,4.9,creditcard,0.0,0
2000,1,5.02,creditcard,1045.0,0
20,1,4.75,creditcard,14.0,0
2000,1,4.46,creditcard,2.0,0
1425,1,4.92,creditcard,0.0,0
1156,1,4.89,creditcard,0.0,0
180,1,4.96,creditcard,0.0,0
2000,1,4.46,paypal,505.0,0
1985,1,4.74,paypal,33.0,0
2000,1,4.75,creditcard,53.0,0
8,1,4.9,paypal,8.0,0
82,1,4.52,storecredit,82.0,0
1804,1,4.88,paypal,0.0,0
6,1,4.52,paypal,0.0,0
1922,1,3.07,paypal,1.0,0
155,3,4.74,creditcard,0.0,0
2000,1,3.95,creditcard,0.0,0
1936,1,5.02,creditcard,0.0,0
55,1,4.9,creditcard,0.0,0
1576,1,4.84,creditcard,0.0,0
215,1,2.6,creditcard,214.0,0
2000,2,4.9,creditcard,1.0,0
310,2,3.07,creditcard,310.0,0
9,1,4.52,paypal,8.0,0
6,1,4.75,creditcard,6.0,0
1507,1,4.88,creditcard,257.0,0
1,2,4.51,creditcard,0.0,1
2000,1,4.06,creditcard,618.0,0
2000,1,5.03,creditcard,449.0,0
379,1,4.92,creditcard,0.0,0
22,2,4.88,creditcard,0.0,0
89,1,2.95,paypal,0.0,0
1772,1,4.75,creditcard,0.0,0
52,1,4.74,paypal,0.0,0
28,1,5.03,creditcard,28.0,0
1141,1,4.88,creditcard,0.0,0
144,1,4.52,creditcard,144.0,0
170,1,4.89,storecredit,0.0,0
152,1,4.88,creditcard,0.0,0
5,1,4.75,paypal,4.0,0
2000,1,4.84,storecredit,0.0,0
2000,1,5.03,creditcard,442.0,0
953,1,4.92,creditcard,244.0,0
1259,1,5.02,creditcard,0.0,0
2000,1,3.95,creditcard,1067.0,0
2000,1,5.03,creditcard,150.0,0
1718,1,4.88,creditcard,0.0,0
52,1,4.89,storecredit,52.0,0
1371,1,4.9,creditcard,0.0,0
519,1,4.9,creditcard,0.0,0
2,1,4.9,creditcard,0.0,0
1744,1,4.75,creditcard,0.0,0
2000,1,4.51,creditcard,0.0,0
2000,1,5.03,creditcard,532.0,0
1655,1,4.92,creditcard,0.0,0
206,1,3.58,paypal,206.0,0
2000,1,5.04,creditcard,965.0,0
598,1,4.92,paypal,0.0,0
867,1,4.92,paypal,0.0,0
659,1,4.52,creditcard,29.0,0
82,1,4.46,paypal,82.0,0
525,1,3.48,creditcard,0.0,0
1595,1,4.89,creditcard,544.0,0
895,1,4.88,creditcard,161.0,0
918,1,4.75,storecredit,8.0,0
127,2,4.75,creditcard,121.0,0
29,1,4.92,creditcard,0.0,0
6,1,4.84,creditcard,6.0,0
2000,1,4.84,creditcard,530.0,0
1353,1,4.84,paypal,0.0,0
18,1,4.52,creditcard,18.0,0
2000,1,4.51,creditcard,755.0,0
1614,1,4.84,creditcard,0.0,0
1572,1,4.97,creditcard,0.0,0
1034,1,5.04,creditcard,0.0,0
34,1,4.52,creditcard,0.0,0
1257,1,5.02,creditcard,0.0,0
1524,1,4.84,creditcard,0.0,0
2000,1,4.74,creditcard,287.0,0
2000,1,4.75,creditcard,1064.0,0
1466,1,4.51,creditcard,0.0,0
2000,1,4.75,storecredit,1290.0,0
1736,1,4.88,creditcard,0.0,0
155,1,4.96,creditcard,0.0,0
7,1,5.02,creditcard,0.0,0
2000,1,4.92,creditcard,0.0,0
483,1,4.88,creditcard,7.0,0
115,1,4.74,creditcard,115.0,0
2000,1,4.74,creditcard,0.0,0
2000,1,4.75,creditcard,12.0,0
1219,1,4.88,paypal,0.0,0
736,1,4.97,creditcard,0.0,0
1,1,4.9,paypal,0.0,1
2000,1,4.89,paypal,663.0,0
987,1,5.04,paypal,0.0,0
675,2,4.89,creditcard,0.0,0
156,1,4.84,creditcard,0.0,0
120,1,4.9,creditcard,120.0,0
46,5,4.75,paypal,28.0,0
14,1,5.03,paypal,0.0,0
239,1,4.06,creditcard,0.0,0
729,1,4.88,paypal,38.0,0
613,1,4.75,storecredit,0.0,0
1673,1,2.6,creditcard,0.0,0
1990,1,4.51,paypal,0.0,0
25,1,4.84,creditcard,0.0,0
235,1,5.02,storecredit,0.0,0
4,1,4.92,creditcard,3.0,0
1093,1,4.92,creditcard,1.0,0
3,1,4.75,creditcard,2.0,0
1924,1,4.97,creditcard,0.0,0
2000,1,4.52,creditcard,1914.0,0
929,1,4.96,creditcard,0.0,0
1602,1,4.51,creditcard,0.0,0
248,1,5.02,creditcard,244.0,0
2,1,4.75,creditcard,0.0,0
434,1,4.84,creditcard,0.0,0
7,1,4.96,creditcard,4.0,0
64,2,4.89,creditcard,0.0,0
106,1,4.89,creditcard,106.0,0
26,1,4.9,creditcard,0.0,0
95,1,4.96,creditcard,0.0,0
52,1,4.75,paypal,0.0,0
1860,1,4.96,creditcard,0.0,0
288,1,4.06,creditcard,287.0,0
2,1,5.03,creditcard,1.0,0
1238,1,5.04,creditcard,129.0,0
93,1,4.52,paypal,92.0,0
1892,1,4.97,creditcard,4.0,0
2000,1,3.95,creditcard,1067.0,0
858,5,4.88,creditcard,313.0,0
1962,1,4.92,creditcard,1398.0,0
2,1,4.06,creditcard,1.0,0
733,1,4.84,creditcard,0.0,0
1539,1,4.92,creditcard,983.0,0
1637,1,4.97,creditcard,0.0,0
1644,1,4.75,creditcard,0.0,0
951,1,4.96,creditcard,0.0,0
145,10,4.52,storecredit,145.0,0
51,1,5.04,creditcard,51.0,0
35,1,5.04,paypal,0.0,0
2000,1,5.03,creditcard,581.0,0
566,1,4.51,creditcard,492.0,0
531,1,4.84,creditcard,0.0,0
14,1,5.02,storecredit,0.0,0
2000,1,4.89,creditcard,417.0,0
150,1,4.96,paypal,149.0,0
161,1,4.75,creditcard,0.0,0
105,1,4.52,paypal,105.0,0
897,1,4.51,paypal,0.0,0
2000,1,4.88,creditcard,844.0,0
1694,1,4.97,paypal,1295.0,0
1673,1,4.92,paypal,0.0,0
43,1,4.52,creditcard,0.0,0
161,1,5.04,creditcard,0.0,0
36,1,4.97,creditcard,0.0,0
1274,1,5.02,creditcard,0.0,0
1486,1,5.02,creditcard,0.0,0
1656,1,4.96,paypal,0.0,0
1228,1,4.97,storecredit,0.0,0
590,2,4.52,creditcard,109.0,0
218,1,5.03,creditcard,0.0,0
27,1,5.04,creditcard,0.0,0
849,1,4.84,paypal,0.0,0
8,1,3.95,paypal,8.0,0
1402,1,4.92,creditcard,0.0,0
519,1,4.06,paypal,518.0,0
133,1,4.9,creditcard,0.0,0
2000,1,4.74,creditcard,0.0,0
9,1,4.52,paypal,9.0,0
2,1,4.97,creditcard,0.0,0
2000,1,4.96,creditcard,587.0,0
943,1,4.88,creditcard,0.0,0
44,1,5.04,creditcard,43.0,0
99,1,4.52,creditcard,98.0,0
1754,2,4.75,creditcard,0.0,0
1901,1,4.06,creditcard,0.0,0
1580,1,4.92,creditcard,148.0,0
2000,1,4.88,creditcard,0.0,0
7,1,5.03,creditcard,7.0,0
244,1,4.96,creditcard,0.0,0
1999,1,4.75,paypal,64.0,0
25,1,4.74,creditcard,0.0,0
193,1,3.58,creditcard,193.0,0
4,1,4.97,creditcard,3.0,0
